Time,MotorTorque,MotorAccel,MotorVel,MotorPos
3.8,-0.011407391,-0.139438092,-0.11162078,0.116334748
3.81,-0.011627395,-0.141438428,-0.113941916,0.114542925
3.82,-0.011845597,-0.136552273,-0.114084042,0.114270939
3.83,-0.012061949,-0.121508812,-0.111012552,0.116250267
3.84,-0.012276403,-0.138868823,-0.118186064,0.110964134
3.85,-0.01248891,-0.125281882,-0.11557113,0.112578234
3.86,-0.012699422,-0.136410206,-0.1207694,0.108646231
3.87,-0.01290789,-0.12324234,-0.118281802,0.110127536
3.88,-0.013114266,-0.134979059,-0.123666698,0.106020643
3.89,-0.013318503,-0.114554457,-0.11887797,0.109086003
3.9,-0.013520552,-0.123321547,-0.123316848,0.105604796
3.91,-0.013720365,-0.107923396,-0.120110094,0.107508128
3.92,-0.013917895,-0.119314685,-0.125370694,0.103402325
3.93,-0.014113094,-0.112485559,-0.124864981,0.103352041
3.94,-0.014305914,-0.106833024,-0.124726527,0.10302012
3.95,-0.01449631,-0.113977163,-0.128629619,0.099808385
3.96,-0.014684232,-0.120722582,-0.132401204,0.096667573
3.97,-0.014869635,-0.116497833,-0.13269799,0.09596169
3.98,-0.015052473,-0.123498738,-0.136538603,0.092727766
3.99,-0.015232698,-0.132882742,-0.141126474,0.088943226
4,-0.015410265,-0.109236786,-0.135262698,0.092526844
4.01,-0.015585127,-0.103714677,-0.135123218,0.09204046
4.02,-0.01575724,-0.104961158,-0.137116874,0.090023368
4.03,-0.015926558,-0.108919841,-0.139960607,0.087382792
4.04,-0.016093036,-0.10833285,-0.14135896,0.085741833
4.05,-0.016256629,-0.091080212,-0.137478944,0.087810797
4.06,-0.016417293,-0.096794011,-0.140853006,0.084727879
4.07,-0.016574983,-0.082887054,-0.138013576,0.086016071
4.08,-0.016729657,-0.088883632,-0.141459011,0.08283768
4.09,-0.016881271,-0.080615465,-0.14038403,0.082833182
4.1,-0.017029781,-0.107258199,-0.150339019,0.075006784
4.11,-0.017175146,-0.094193728,-0.147727336,0.076043825
4.12,-0.017317324,-0.07974049,-0.144666014,0.077376268
4.13,-0.017456272,-0.069417469,-0.142899984,0.077770261
4.14,-0.017591949,-0.102960201,-0.154994401,0.068340905
